# TEXT/SIMPLE
# elo ehi spectrum
3.0000000000000e-01 3.0999999998886e-01 1.9167279153130e-12
3.0999999998886e-01 3.1999999997772e-01 5.5340459608126e-12
3.1999999997772e-01 3.2999999996658e-01 1.4046624513725e-11
3.2999999996658e-01 3.3999999995544e-01 3.1983213860000e-11
3.3999999995544e-01 3.4999999994429e-01 6.6463753139907e-11
3.4999999994429e-01 3.5999999993315e-01 1.2571488319982e-10
3.5999999993315e-01 3.6999999992201e-01 2.2169288026445e-10
3.6999999992201e-01 3.7999999991087e-01 3.7252227825945e-10
3.7999999991087e-01 3.8999999989973e-01 5.9303349192862e-10
3.8999999989973e-01 3.9999999988859e-01 9.0028409663995e-10
3.9999999988859e-01 4.0999999987745e-01 1.1121305620377e-09
4.0999999987745e-01 4.1999999986631e-01 1.3345699820662e-09
4.1999999986631e-01 4.2999999985517e-01 1.8403637360483e-09
4.2999999985517e-01 4.3999999984403e-01 2.4627184732589e-09
4.3999999984403e-01 4.4999999983288e-01 3.2042719425860e-09
4.4999999983288e-01 4.5999999982174e-01 4.0703819531579e-09
4.5999999982174e-01 4.6999999981060e-01 5.0670605230405e-09
4.6999999981060e-01 4.7999999979946e-01 6.1869769121620e-09
4.7999999979946e-01 4.8999999978832e-01 7.4240199286496e-09
4.8999999978832e-01 4.9999999977718e-01 8.7695668330329e-09
4.9999999977718e-01 5.0999999976604e-01 1.0212927402048e-08
5.0999999976604e-01 5.1999999975490e-01 1.1741918305460e-08
5.1999999975490e-01 5.2999999974376e-01 1.3343281622239e-08
5.2999999974376e-01 5.3999999973261e-01 5.8095602742316e-09
5.3999999973261e-01 5.4999999972147e-01 2.5936994378319e-09
5.4999999972147e-01 5.5999999971033e-01 3.0645987752338e-09
5.5999999971033e-01 5.6999999969919e-01 3.5818454450857e-09
5.6999999969919e-01 5.7999999968805e-01 4.1444263344691e-09
5.7999999968805e-01 5.8999999967691e-01 4.7426982912408e-09
5.8999999967691e-01 5.9999999966577e-01 5.3807431434322e-09
