Seq Num,Obs ID,Instrument,Grating,Appr Exp,Exposure,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Grid Name
100215,25999,ACIS-S,NONE,10.00,9.45,WISEA J150443.06-383623.3,Garmire,226.177,-38.605,archived,FAINT,TE,3.8561957615617297,36440,2022-09-18 22:17:12,2023-09-22 13:22:14,23100665,SOLAR SYSTEM AND EXOPLANETS,GTO,23,23,None,
100216,26000,ACIS-S,NONE,10.00,9.71,TOI2666,Garmire,139.481,-3.388,archived,FAINT,TE,3.9902711192362217,38758,2022-06-28 19:11:01,2023-06-30 15:35:52,23100665,SOLAR SYSTEM AND EXOPLANETS,GTO,23,23,None,
201352,23320,ACIS-S,NONE,25.00,23.79,LP791-18,France,165.691,-16.406,archived,VFAINT,TE,1.1347318656834982,26995,2022-01-30 00:11:14,2023-01-30 18:51:04,22200628,STARS AND WD,GO,22,22,CXO-HST,
201354,23322,ACIS-S,NONE,25.00,23.84,WASP-17,France,239.962,-28.062,archived,VFAINT,TE,1.2660504010706064,30180,2021-05-31 00:54:28,2022-06-01 08:49:07,22200628,STARS AND WD,GO,22,22,CXO-HST,
201356,23324,ACIS-S,NONE,20.00,19.81,LHS 2021,Pineda,127.633,9.785,archived,VFAINT,TE,7.116382261361718,140999,2021-12-21 09:58:33,2022-12-22 05:51:29,22200629,STARS AND WD,GO,22,22,CXO-HST,
201379,23392,ACIS-S,NONE,30.00,28.25,GJ1183AB,Osten,216.984,-0.375,archived,FAINT,TE,4.677967510477768,132132,2022-04-12 09:23:20,2023-04-15 09:03:48,22200260,STARS AND WD,GO,22,22,None,
201379,24504,ACIS-S,NONE,15.00,14.71,GJ1183AB,Osten,216.984,-0.375,archived,FAINT,TE,4.128757392354225,60729,2020-12-15 09:30:59,2023-04-15 09:03:48,22200260,STARS AND WD,GO,22,22,None,
201379,24899,ACIS-S,NONE,15.00,14.89,GJ1183AB,Osten,216.984,-0.375,archived,FAINT,TE,4.102509623269405,61078,2020-12-15 20:15:30,2023-04-15 09:03:48,22200260,STARS AND WD,GO,22,22,None,
201380,23393,ACIS-S,NONE,16.00,16.37,KX ComAB,Osten,194.220,23.497,archived,FAINT,TE,4.105652589646076,67212,2021-03-15 08:50:53,2023-04-01 08:56:29,22200260,STARS AND WD,GO,22,22,None,
201380,24503,ACIS-S,NONE,30.00,30.17,KX ComAB,Osten,194.220,23.497,archived,FAINT,TE,4.771220710877286,143930,2022-03-22 13:45:59,2023-04-01 08:56:29,22200260,STARS AND WD,GO,22,22,None,
201380,24991,ACIS-S,NONE,17.00,16.86,KX ComAB,Osten,194.220,23.497,archived,FAINT,TE,4.0857395213855,68887,2021-03-15 18:45:29,2023-04-01 08:56:29,22200260,STARS AND WD,GO,22,22,None,
201403,23416,ACIS-S,NONE,10.00,9.94,2MASS J12150885+4843574,Kastner,183.787,48.733,archived,FAINT,TE,5.828380042122194,57928,2021-03-31 16:58:44,2022-04-05 16:26:16,22200425,STARS AND WD,GO,22,22,None,
201409,23861,ACIS-S,NONE,15.00,13.58,HD 82443,Wargelin,143.181,26.987,archived,FAINT,TE,0.8972802031018497,12184,2021-10-06 22:34:54,2022-10-12 12:03:21,22200350,STARS AND WD,GO,22,22,None,
201410,23862,ACIS-S,NONE,15.00,13.67,HD 82443,Wargelin,143.181,26.987,archived,FAINT,TE,0.8377993015158595,11452,2022-02-21 05:11:30,2023-02-23 12:06:06,22200350,STARS AND WD,GO,23,22,None,
201411,23863,ACIS-S,NONE,15.00,13.99,HD 82443,Wargelin,143.181,26.987,archived,FAINT,TE,0.8759695238095369,12257,2022-11-16 23:39:47,2023-11-17 15:41:03,22200350,STARS AND WD,GO,23,22,None,
201412,23864,ACIS-S,NONE,15.00,13.02,HD 82443,Wargelin,143.181,26.987,archived,FAINT,TE,0.795555675339644,10362,2023-03-09 20:03:15,2024-03-10 10:51:08,22200350,STARS AND WD,GO,24,22,None,
201463,25118,ACIS-S,NONE,35.00,31.66,SDSS J123045.53+410943.8,Green,187.690,41.162,archived,VFAINT,TE,4.412044511473431,139669,2023-03-06 21:59:15,2024-03-08 09:41:08,23200076,STARS AND WD,GO,23,23,None,
201463,25808,ACIS-S,NONE,30.00,30.57,SDSS J123045.53+410943.8,Green,187.690,41.162,archived,VFAINT,TE,6.0277815398203565,184256,2023-01-03 05:09:37,2024-03-08 09:41:08,23200076,STARS AND WD,GO,23,23,None,
201463,25809,ACIS-S,NONE,36.00,35.52,SDSS J123045.53+410943.8,Green,187.690,41.162,archived,VFAINT,TE,7.515300806861192,266935,2022-01-19 04:42:47,2024-03-08 09:41:08,23200076,STARS AND WD,GO,23,23,None,
201466,25121,ACIS-S,NONE,45.00,41.02,HR 5907,Pillitteri,238.483,-23.978,archived,FAINT,TE,4.334876085587812,177822,2022-07-11 22:30:45,2023-07-13 06:23:36,23200093,STARS AND WD,GO,23,23,NuSTAR,
201467,25122,ACIS-S,NONE,45.00,44.47,HR 5907,Pillitteri,238.483,-23.978,archived,FAINT,TE,4.211760463166251,187308,2022-07-17 08:48:24,2023-07-18 09:03:37,23200093,STARS AND WD,GO,23,23,NuSTAR,
201524,26375,ACIS-S,NONE,20.00,19.81,1RXS J130339.6-162009,Guenther,195.913,-16.337,archived,VFAINT,TE,4.511418721853431,89384,2022-04-09 12:35:38,2022-04-10 20:39:36,20201077,STARS AND WD,CCT,23,20,None,
201525,26376,ACIS-S,NONE,20.00,19.81,HD 114432,Guenther,197.694,-24.179,archived,VFAINT,TE,4.476994926847115,88693,2022-04-04 19:19:03,2022-04-05 10:06:27,20201077,STARS AND WD,CCT,23,20,None,
201531,26395,ACIS-S,NONE,20.00,20.84,1RXS J144522.9-085425,Guenther,221.346,-8.905,archived,VFAINT,TE,4.776330031241075,99543,2022-04-20 17:56:27,2022-04-21 06:13:49,20201077,STARS AND WD,CCT,23,20,None,
201533,26409,ACIS-S,NONE,20.00,19.81,* bet Sco,Guenther,241.359,-19.805,archived,VFAINT,TE,4.4687437339086475,88529,2022-05-02 00:59:41,2022-05-02 22:17:47,20201077,STARS AND WD,CCT,23,20,None,
201534,26410,ACIS-S,NONE,20.00,19.81,1RXS J151544.5-072539,Guenther,228.932,-7.423,archived,VFAINT,TE,4.361280961796225,86399,2022-05-09 10:53:30,2022-05-10 17:57:48,20201077,STARS AND WD,CCT,23,20,None,
201537,26424,ACIS-S,NONE,20.00,19.81,1RXS J162354.1-294642,Guenther,245.974,-29.778,archived,VFAINT,TE,4.519821672795264,89550,2022-05-27 06:13:03,2022-05-30 18:32:01,20201077,STARS AND WD,CCT,23,20,None,
201538,26425,ACIS-S,NONE,20.00,19.81,1RXS J163341.9-093308,Guenther,248.423,-9.553,archived,VFAINT,TE,4.346722915552447,86109,2022-05-25 23:13:08,2022-05-26 10:46:04,20201077,STARS AND WD,CCT,23,20,None,
201540,26437,ACIS-S,NONE,10.00,9.95,1RXS J081116.3-125529,Guenther,122.818,-12.927,archived,VFAINT,TE,3.9478658666003055,39264,2022-06-20 02:22:53,2022-06-21 07:01:58,20201077,STARS AND WD,CCT,23,20,None,
