Seq Num,Obs ID,Instrument,Grating,Appr Exp,Exposure,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Grid Name
100205,25103,ACIS-S,NONE,15.00,13.67,DS Tuc,King,354.916,-69.196,archived,FAINT,TE,1.2411673464270223,16972,2022-02-20 22:30:42,2023-02-21 20:26:11,23100502,SOLAR SYSTEM AND EXOPLANETS,GO,23,23,None,
100206,25104,ACIS-S,NONE,15.00,13.95,DS Tuc,King,354.916,-69.196,archived,FAINT,TE,1.4130107071684472,19710,2022-05-01 20:17:12,2023-05-03 11:27:47,23100502,SOLAR SYSTEM AND EXOPLANETS,GO,23,23,None,
100207,25105,ACIS-S,NONE,15.00,15.33,DS Tuc,King,354.916,-69.196,archived,FAINT,TE,1.204513796366022,18471,2022-07-11 04:11:06,2023-07-11 10:13:36,23100502,SOLAR SYSTEM AND EXOPLANETS,GO,23,23,None,
100208,25106,ACIS-S,NONE,15.00,13.95,DS Tuc,King,354.916,-69.196,archived,FAINT,TE,1.119894912716558,15622,2022-10-12 15:43:49,2023-10-13 07:32:45,23100502,SOLAR SYSTEM AND EXOPLANETS,GO,23,23,None,
100209,25993,ACIS-S,NONE,11.00,9.79,LTT 1445A,Predehl,45.464,-16.593,archived,FAINT,TE,0.7074731575800136,6927,2022-10-10 09:08:22,2023-11-23 11:31:03,23100661,SOLAR SYSTEM AND EXOPLANETS,GTO,23,23,None,
100209,27476,ACIS-S,NONE,10.00,9.50,LTT 1445A,Predehl,45.464,-16.593,archived,FAINT,TE,1.6681965893901591,15843,2022-10-12 08:38:48,2023-11-23 11:31:03,23100661,SOLAR SYSTEM AND EXOPLANETS,GTO,23,23,None,
100209,27477,ACIS-S,NONE,29.00,25.95,LTT 1445A,Predehl,45.464,-16.593,archived,FAINT,TE,0.9059734248809149,23510,2022-11-22 23:38:24,2023-11-23 11:31:03,23100661,SOLAR SYSTEM AND EXOPLANETS,GTO,23,23,None,
100210,25994,ACIS-S,NONE,11.00,10.82,L 168-9,Predehl,350.031,-60.065,archived,FAINT,TE,9.505014709646963,102853,2023-02-05 20:22:25,2024-02-08 06:11:06,23100661,SOLAR SYSTEM AND EXOPLANETS,GTO,23,23,None,
100210,27703,ACIS-S,NONE,14.00,13.28,L 168-9,Predehl,350.031,-60.065,archived,FAINT,TE,9.527514854054019,126571,2023-02-06 05:15:05,2024-02-08 06:11:06,23100661,SOLAR SYSTEM AND EXOPLANETS,GTO,23,23,None,
100211,25995,ACIS-S,NONE,10.00,10.93,TOI2598,Garmire,91.234,-1.134,archived,FAINT,TE,3.868393871142282,42291,2022-12-17 23:30:43,2023-12-18 09:51:05,23100665,SOLAR SYSTEM AND EXOPLANETS,GTO,23,23,None,
100228,27882,ACIS-S,NONE,29.90,29.75,LTT 1445A,Howard,45.462,-16.595,archived,VFAINT,TE,0.9165808370418291,27266,2023-08-02 23:21:27,2023-08-04 07:28:53,24108909,SOLAR SYSTEM AND EXOPLANETS,DDT,24,24,None,
201273,22303,ACIS-S,NONE,36.00,35.60,WISE J080822.18-644357.3,Wisniewski,122.092,-64.733,archived,VFAINT,TE,4.110020885481359,146325,2021-07-06 14:29:42,2022-07-07 20:40:46,21200100,STARS AND WD,GO,21,21,None,
201273,24756,ACIS-S,NONE,35.00,34.60,WISE J080822.18-644357.3,Wisniewski,122.092,-64.733,archived,VFAINT,TE,11.409522009862176,394799,2021-07-07 06:24:58,2022-07-07 20:40:46,21200100,STARS AND WD,GO,21,21,None,
201353,23321,ACIS-S,NONE,25.00,22.89,TOI-193,France,358.669,-37.628,archived,VFAINT,TE,1.2140730103792121,27786,2021-09-22 02:28:15,2022-09-22 17:24:46,22200628,STARS AND WD,GO,22,22,CXO-HST,
201364,23377,ACIS-S,NONE,30.00,28.59,LTT1445A,Brown,45.464,-16.593,archived,VFAINT,TE,1.2902388895771968,36893,2021-06-05 01:41:32,2022-06-05 20:50:25,22200022,STARS AND WD,GO,22,22,None,
201394,23407,ACIS-S,NONE,33.00,32.76,2MASS J04351354+2008014,Agüeros,68.806,20.134,archived,VFAINT,TE,4.211351612922687,137984,2021-01-03 14:03:11,2022-10-27 05:59:36,22200351,STARS AND WD,GO,22,22,None,
201394,24307,ACIS-S,NONE,30.00,31.92,2MASS J04351354+2008014,Agüeros,68.806,20.134,archived,VFAINT,TE,5.550625135626952,177190,2021-10-08 06:35:15,2022-10-27 05:59:36,22200351,STARS AND WD,GO,22,22,None,
201394,24308,ACIS-S,NONE,30.00,29.68,2MASS J04351354+2008014,Agüeros,68.806,20.134,archived,VFAINT,TE,3.9828629232303023,118227,2021-10-17 02:08:42,2022-10-27 05:59:36,22200351,STARS AND WD,GO,22,22,None,
201394,24309,ACIS-S,NONE,30.00,29.19,2MASS J04351354+2008014,Agüeros,68.806,20.134,archived,VFAINT,TE,4.068633365831587,118772,2021-10-25 03:02:07,2022-10-27 05:59:36,22200351,STARS AND WD,GO,22,22,None,
201394,24310,ACIS-S,NONE,30.00,28.70,2MASS J04351354+2008014,Agüeros,68.806,20.134,archived,VFAINT,TE,4.078727861402858,117061,2021-10-26 13:20:16,2022-10-27 05:59:36,22200351,STARS AND WD,GO,22,22,None,
201394,24914,ACIS-S,NONE,21.00,20.55,2MASS J04351354+2008014,Agüeros,68.806,20.134,archived,VFAINT,TE,6.316354565043102,129779,2021-01-07 16:44:40,2022-10-27 05:59:36,22200351,STARS AND WD,GO,22,22,None,
201399,23412,ACIS-S,NONE,10.00,9.82,2MASS J02154618-1814179,Kastner,33.943,-18.238,archived,FAINT,TE,12.57854218418159,123549,2021-07-16 10:44:28,2022-07-18 20:09:19,22200425,STARS AND WD,GO,22,22,None,
201401,23414,ACIS-S,NONE,10.00,9.82,2MASS J20320890-4742064,Kastner,308.037,-47.702,archived,FAINT,TE,12.569540153922388,123451,2021-05-18 04:22:50,2022-05-18 09:49:04,22200425,STARS AND WD,GO,22,22,None,
201459,25114,ACIS-S,NONE,10.00,9.33,HR2142,Naze,91.056,-6.709,archived,FAINT,TE,0.6024657816524672,5620,2022-11-29 17:50:03,2023-11-30 09:51:04,23200019,STARS AND WD,GO,23,23,None,
201460,25115,ACIS-S,NONE,10.00,9.33,HR2142,Naze,91.056,-6.709,archived,FAINT,TE,0.7095588983554592,6619,2022-05-11 18:31:25,2023-05-12 05:57:51,23200019,STARS AND WD,GO,23,23,None,
201461,25116,ACIS-S,NONE,10.00,9.13,HR2142,Naze,91.056,-6.709,archived,FAINT,TE,0.6793789535802097,6204,2021-12-20 00:27:22,2022-12-20 16:42:28,23200019,STARS AND WD,GO,23,23,None,
201464,25119,ACIS-S,NONE,23.00,23.76,LAMOST J025414.25+262154.0,Green,43.559,26.365,archived,VFAINT,TE,6.096143083664337,144826,2021-11-15 23:01:45,2022-11-22 09:30:05,23200076,STARS AND WD,GO,23,23,None,
201464,26209,ACIS-S,NONE,10.00,9.83,LAMOST J025414.25+262154.0,Green,43.559,26.365,archived,VFAINT,TE,7.5541829765847615,74275,2021-11-21 21:53:14,2022-11-22 09:30:05,23200076,STARS AND WD,GO,23,23,None,
201465,25120,ACIS-S,NONE,16.00,15.75,LAMOST J220809.97+251729.9,Green,332.042,25.292,archived,VFAINT,TE,7.5514344777653575,118959,2022-04-12 04:14:48,2023-04-15 09:13:49,23200076,STARS AND WD,GO,23,23,None,
201465,26390,ACIS-S,NONE,17.00,16.74,LAMOST J220809.97+251729.9,Green,332.042,25.292,archived,VFAINT,TE,8.017853489960233,134254,2022-04-14 19:52:51,2023-04-15 09:13:49,23200076,STARS AND WD,GO,23,23,None,
201469,25124,ACIS-S,NONE,30.00,27.23,TAP 26,Skinner,64.715,17.388,archived,FAINT,TE,0.680962380537651,18541,2021-12-06 23:51:08,2022-12-12 17:51:10,23200170,STARS AND WD,GO,23,23,None,
201469,25693,ACIS-S,NONE,20.00,17.99,TAP 26,Skinner,64.715,17.388,archived,FAINT,TE,0.947535655815641,17045,2021-12-01 07:36:46,2022-12-12 17:51:10,23200170,STARS AND WD,GO,23,23,None,
201469,26225,ACIS-S,NONE,10.00,9.46,TAP 26,Skinner,64.715,17.388,archived,FAINT,TE,0.9257055276682927,8754,2021-12-11 13:39:10,2022-12-12 17:51:10,23200170,STARS AND WD,GO,23,23,None,
201535,26419,ACIS-S,NONE,10.00,9.95,UCAC4 344-000237,Guenther,2.850,-21.242,archived,VFAINT,TE,4.199387809183741,41771,2022-05-20 05:27:09,2022-05-22 19:46:04,20201077,STARS AND WD,CCT,23,20,None,
