ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
23324,127.7693092575682,9.70545097958357,9.26384598089788,0.569261126292917,21.301944732666016,no,no,no,no,no,no,yes,no
23477,202.41434487443652,47.21230856831212,0.4433721655248347,0.06645078868664885,36.995849609375,no,no,yes,no,no,no,no,yes
23477,202.4164961354718,47.21040069286072,0.5723690787274577,0.08951112374717889,28.203481674194336,no,yes,yes,no,no,no,no,yes
23478,202.47195060448084,47.17867582583678,2.875160497201042,0.12177222672602601,21.30406379699707,yes,yes,yes,no,yes,yes,no,yes
23479,202.51760123469967,47.22244730606814,4.886751920323739,0.33800077624109487,11.043736457824707,no,yes,yes,no,yes,yes,no,yes
23479,202.41628674426923,47.21015695096837,2.043127879570706,0.07013071188250435,57.67522430419922,no,yes,yes,no,no,no,no,no
23480,202.38837632061595,47.244600057888995,5.094395455152394,0.46650405199908423,7.972517490386963,no,yes,yes,no,no,no,no,yes
23487,187.66188031663623,41.636132294079644,2.907651435297709,0.1454523757111102,19.692283630371094,no,yes,yes,no,no,no,no,yes
23489,187.66182351791952,41.63610435006035,1.920994564638723,0.0657568084200524,49.74999237060547,no,no,yes,no,no,no,no,no
23491,187.64631625996262,41.646328105754485,1.284462868599568,0.09846312690913951,21.838043212890625,no,yes,yes,no,no,no,no,yes
28964,244.71649522184907,-1.991866011802935,6.134223500424384,0.360551429526109,5.741755962371826,no,no,no,no,no,no,no,no
27863,210.9823601795029,54.349447323492235,3.333853438958577,0.15036859416783266,25.51070213317871,yes,yes,yes,no,yes,no,no,yes
25240,186.47503696543643,-36.14165323588869,5.550482287439332,0.22059769926512884,35.77335739135742,yes,no,no,no,no,no,no,no
27832,136.34891082164935,3.487444807144723,6.614545082427473,0.5640903480837302,5.6084699630737305,yes,no,no,no,yes,no,yes,no
23820,128.2368443330671,23.063210020947512,2.345529616398561,0.1679166668685338,15.473371505737305,no,no,no,no,yes,yes,yes,no
