ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match
24307,68.80738052470826,20.133456595284063,0.0816666666666666,0.0346851781633628,132.10743713378906,yes,no,no,no,no,no
24309,68.80755440267386,20.133397351816622,0.1016666666666666,0.095944254484343,22.827821731567383,yes,no,no,no,no,no
24310,68.80749754599914,20.13345602768908,0.0716666666666666,0.0907187733236707,15.62531566619873,yes,no,no,no,no,no
24914,68.74238171675539,20.08471430596115,4.618,0.1893413750876231,20.33892059326172,no,no,no,no,no,no
25119,43.4989988560472,26.344930153762316,3.526,0.1840512034222711,3.422615528106689,no,no,no,no,no,no
23477,202.41434487443647,47.21230856831212,0.4433333333333333,0.0664507886866488,36.995849609375,no,no,yes,no,no,no
23477,202.4164961354718,47.21040069286072,0.5716666666666667,0.0895111237471788,28.203481674194336,no,no,yes,no,no,no
23478,202.47195060448084,47.17867582583678,2.875,0.121772226726026,21.30406379699707,yes,no,yes,no,yes,yes
23479,202.51760123469967,47.22244730606814,4.887,0.3380007762410948,11.043736457824709,no,no,yes,no,yes,yes
23479,202.41628674426923,47.21015695096837,2.043,0.0701307118825043,57.67522430419922,no,no,yes,no,no,no
23487,187.66188031663623,41.63613229407965,2.908,0.1454523757111102,19.692283630371094,no,no,yes,no,no,no
23487,187.64630116722768,41.64640643088012,2.138,0.1517524824438454,9.016103744506836,no,no,yes,no,no,no
23488,187.66173433407877,41.6360916527896,2.457,0.0875329112573283,28.10297393798828,no,no,no,no,no,no
23489,187.66182351791952,41.63610435006035,1.921,0.0657568084200524,49.74999237060547,no,no,yes,no,no,no
23491,187.64631625996265,41.646328105754485,1.284,0.0984631269091395,21.838043212890625,no,no,yes,no,no,no
23582,178.31122911171954,10.841826395740776,4.272,0.2373565981104979,11.155279159545898,yes,no,no,no,yes,no
27863,210.9823601795029,54.34944732349224,3.334,0.1503685941678326,25.51070213317871,yes,no,yes,no,yes,no
22481,56.63677775024114,68.06574263759163,1.507,0.0615957780332516,76.92709350585938,no,no,no,no,no,no
23815,48.20759508186512,41.19613325497504,8.394,0.8901817528049609,7.74568510055542,no,no,no,no,no,no
23820,128.2368443330671,23.063210020947512,2.346,0.1679166668685338,15.473371505737305,no,no,no,no,yes,yes
23827,263.65579349495306,88.6621863331238,5.033,0.6529314900255374,4.321642875671387,no,no,no,no,no,no
26444,178.40321293000244,49.60019822887924,5.205,0.2991080413351452,8.112722396850586,yes,no,no,no,no,no
27657,255.6505489220101,12.892773409163084,7.64,1.0330860257681944,7.118202686309815,no,no,no,no,no,no
27821,314.2834974404852,22.472060357912863,2.929,0.1428885783866915,12.149114608764648,yes,no,no,no,no,no
24297,175.76456786241403,58.41324461189819,5.424,0.6055384615385252,4.962765216827393,no,no,no,no,no,no
26226,165.08740968631062,54.84626114949933,5.984,0.3290580096429228,10.99937343597412,no,no,no,no,no,no
25488,30.116587135442614,31.609149215022185,11.0,1.2949543095665863,6.172003746032715,no,no,no,no,no,no
27023,207.06443852491276,26.4738336642124,6.159,0.6005492324035606,8.991857528686523,yes,no,no,no,no,no
23883,260.6395744067035,65.84501321546657,2.216,0.1199673942958258,13.566435813903809,yes,no,yes,no,yes,no
23883,260.6712022242231,65.71150691130413,6.579,0.5119401117175582,12.448989868164062,no,no,yes,no,no,no
