ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
635,246.91221778940647,-24.672350038225943,7.551974146940368,0.15832031317536296,85.25835418701172,no,yes,no,no,no,no,yes,no
635,246.86674810941201,-24.65933077846842,5.587595551524657,0.017584904076087638,1074.9595947265625,no,yes,no,no,no,yes,no,no
635,246.86033020859165,-24.656433189624366,5.294634774971216,0.08134270131302454,76.81267547607422,no,yes,no,no,no,no,yes,no
635,246.81440886642326,-24.444509008669254,7.789956307755419,0.12238526567296847,134.460693359375,no,yes,no,no,no,no,no,no
635,246.5935411772677,-24.381389778187213,17.16034451805078,0.24452987500549184,139.50697326660156,no,yes,yes,no,no,no,yes,no
635,246.7389225643041,-24.594092229970094,4.898983437986688,0.23150542686222664,9.515366554260254,no,yes,no,no,no,no,yes,no
635,246.86221155825044,-24.680795776560288,6.711100806398803,0.05270374166956951,311.5278015136719,no,yes,no,no,no,no,no,no
635,246.86277346377747,-24.53831363737394,2.933757543031453,0.03032684875721539,315.59600830078125,no,no,no,no,no,no,yes,no
637,246.66861815713546,-24.45401915402044,4.144764902310921,0.10542355726308542,52.327518463134766,no,no,yes,no,no,no,yes,no
637,246.60018452904663,-24.413389468964983,3.001503653572425,0.01929227061330983,484.9203186035156,yes,yes,yes,no,no,no,yes,no
637,246.61434496666567,-24.40499334499369,2.079244965675024,0.10797012148359901,10.457764625549316,no,no,yes,no,no,no,no,no
637,246.76900700639217,-24.45428679984923,7.755212574239395,0.06981823700641188,328.71099853515625,no,yes,yes,no,no,no,yes,no
637,246.76242179264815,-24.437513116478012,6.96189387028048,0.5231208137729013,9.024821281433105,no,yes,yes,no,no,no,yes,no
637,246.77485356448054,-24.438478406537044,7.603971749865671,0.3009502641313278,31.981027603149414,no,yes,yes,no,no,no,yes,no
17249,246.6785314654053,-24.34186812214503,3.805527516470809,0.023802983137335827,552.2943115234375,yes,no,yes,no,no,no,no,no
17249,246.76256086805472,-24.437694132436043,6.307596841106472,0.32510981928218,19.812671661376953,no,yes,yes,no,no,no,yes,no
17249,246.57866047708194,-24.47237079366589,5.935028395933473,0.06523259545558743,235.8979949951172,yes,no,yes,no,no,no,no,no
17249,246.6271766985138,-24.382711987502585,1.852668944107992,0.07105601057165666,59.15084457397461,no,no,yes,no,no,no,no,no
18928,33.71962885971864,89.21442505195623,4.770022349265849,0.26377808127277136,13.586315155029297,yes,no,no,no,no,no,no,no
12301,148.786765393384,68.95618697381816,3.954106349311388,0.17625130180136692,20.312955856323242,yes,yes,no,no,yes,no,yes,yes
12301,148.88870097241772,68.96562726990831,3.233812968080242,0.21192974956328775,7.097710609436035,no,no,no,no,no,no,no,no
782,67.70054452798044,64.84738131633362,1.255696225567594,0.013803253472076565,271.81329345703125,yes,yes,yes,no,yes,no,no,yes
782,67.83772094825066,64.84154235953292,2.917828805557602,0.12135755825502809,15.828291893005371,yes,no,no,no,yes,no,no,no
934,210.8748467254815,54.37466060898801,3.287363375990512,0.05014056356066287,97.49684143066406,no,no,yes,no,yes,no,no,yes
2941,195.3415993364854,27.83795735540841,3.269501717558359,0.0916554254883783,15.355380058288574,yes,no,no,no,no,no,yes,no
3951,170.32905864465852,53.06505671145803,4.771727748901553,0.3344296343872334,13.903656005859375,no,no,no,no,no,unknown,no,no
4732,210.900068867643,54.32355254894945,6.246087321360051,0.16469487695694762,49.7792854309082,no,yes,yes,no,no,yes,no,yes
4732,210.62459428585458,54.35522432771228,4.611885629035505,0.03466073831736588,542.8106689453125,yes,yes,yes,no,yes,no,yes,yes
5322,210.89991841556554,54.32349787981536,6.147832368936966,0.19504000984988498,41.82636260986328,no,yes,yes,no,no,yes,no,yes
6114,210.80950675151803,54.30171415398854,1.29608960044437,0.075497093324436,19.84343147277832,no,yes,yes,no,no,no,unknown,yes
6114,210.9000438452397,54.32352379334238,2.137878921882784,0.03789618438633455,89.53699493408203,no,yes,yes,no,no,yes,no,yes
9533,189.93843412099602,-11.646983570415117,5.554059544307791,0.02867368555388176,489.5903625488281,yes,yes,no,no,yes,no,yes,no
9552,166.46466276263658,-0.04569428831548211,0.8997387962646942,0.06282789949443753,17.053869247436523,no,no,no,no,no,no,no,yes
10542,149.25050213067678,69.57207114562992,9.856690658907942,0.1585289123309633,112.18182373046875,yes,yes,yes,no,yes,no,yes,no
12951,225.31366365505602,1.7972846638533255,3.674619841783884,0.1857633784395902,16.626035690307617,yes,no,no,no,yes,no,yes,no
