,Id,ObsId,Exp. (ks),Date,T_90,RA (deg),Dec (deg),Off. Ang.,Pos. Unc.,S/N
1,XRTC 000222,344,47.4,2000-02-21 - 2000-02-22,43.4 +0.6 -0.5,40.66962,-0.01274,0.6,0.02,523.8
2,XRTC 000209,805,40.8,2000-02-08 - 2000-02-09,13.3 +1.1 -1.2,142.94319,55.19166,18.9,1.12,18.0
3,XRTC 001021,894,39.4,2000-10-20 - 2000-10-21,35.8 +1.4 -1.3,258.02855,64.14214,6.0,0.24,66.5
4,XRTC 000611,926,44.2,2000-06-11,39.3 +3.6 -3.0,152.67783,-12.87157,13.2,1.34,20.3
5,XRTC 001009,1047,32.2,2000-10-09,29.2 +2.0 -1.4,255.86135,51.95720,12.7,1.17,31.5
6,XRTC 000203,1520,23.7,2000-02-03,21.0 +1.6 -1.7,154.84019,41.34584,15.4,2.11,18.7
7,XRTC 000203,1520,23.7,2000-02-03,21.1 +1.6 -1.5,154.71636,41.25359,14.5,1.91,17.6
8,XRTC 000614,1711,27.1,2000-06-14,25.3 +0.9 -1.0,187.12791,1.69688,24.4,3.42,6.9
9,XRTC 000614,1712,27.4,2000-06-14,25.0 +1.0 -1.0,187.27452,2.04868,0.4,0.00,72.8
10,XRTC 000614,1712,27.4,2000-06-14,24.2 +1.0 -1.1,187.27417,2.04826,0.4,0.06,70.2
11,XRTC 020115,2253,47.4,2002-01-14 - 2002-01-15,41.9 +2.2 -3.5,187.20522,75.58803,9.7,0.68,41.2
12,XRTC 021002,3265,17.9,2002-10-02,16.2 +1.3 -0.8,29.95563,-8.83288,2.2,0.14,78.0
13,XRTC 030120,4396,164.6,2003-01-18 - 2003-01-20,45.2 +20.4 -44.4,83.84385,-5.33084,4.1,0.15,44.9
14,XRTC 030812,4449,18.2,2003-08-11 - 2003-08-12,15.8 +2.3 -1.0,22.53429,21.81805,4.7,0.40,35.7
15,XRTC 041023,4970,98.8,2004-10-22 - 2004-10-23,87.5 +2.0 -2.7,139.50595,-11.76927,18.5,1.44,8.0
16,XRTC 040802,5353,36.6,2004-08-01 - 2004-08-02,32.7 +2.0 -1.8,329.35219,-4.68083,12.6,1.54,17.7
17,XRTC 040802,5353,36.6,2004-08-01 - 2004-08-02,34.7 +3.0 -1.2,329.41304,-4.69677,15.6,2.61,7.3
18,XRTC 050903,5757,59.0,2005-09-02 - 2005-09-03,53.9 +3.5 -3.9,180.82716,57.80398,6.3,0.29,80.9
19,XRTC 051023,5800,44.5,2005-10-22 - 2005-10-23,41.1 +1.8 -1.5,64.86444,2.55921,4.0,0.13,151.9
20,XRTC 060903,6830,94.4,2006-09-02 - 2006-09-03,86.8 +3.8 -3.4,14.73732,26.95390,9.0,0.40,55.2
21,XRTC 060514,6859,14.8,2006-05-14,12.2 +1.9 -1.1,242.97912,52.46081,2.0,0.14,38.1
22,XRTC 060519,7191,69.2,2006-05-19,63.9 +3.1 -4.1,61.16424,-41.03927,5.7,0.20,83.5
23,XRTC 070910,7801,14.6,2007-09-10,12.9 +1.0 -1.1,24.92968,-10.50559,12.6,1.90,13.6
24,XRTC 061230,8500,21.8,2006-12-30,15.0 +0.8 -1.2,130.24038,32.61128,11.2,2.24,7.8
25,XRTC 090108,10303,59.5,2009-01-08,55.0 +2.0 -3.0,103.95847,54.41777,16.8,1.43,15.7
26,XRTC 090323,10326,10.0,2009-03-23,8.8 +0.9 -0.5,141.68290,2.55548,3.3,0.25,41.3
27,XRTC 090815,10351,14.8,2009-08-15,12.9 +2.3 -0.8,351.69291,9.89682,15.2,4.02,6.5
28,XRTC 090826,11029,34.2,2009-08-26,31.7 +0.9 -0.7,322.49172,12.16696,0.0,0.04,274.5
29,XRTC 090826,11029,34.2,2009-08-26,31.2 +0.8 -0.7,322.49227,12.16803,0.1,0.05,283.0
30,XRTC 100320,11674,14.8,2010-03-20,13.3 +1.1 -1.1,199.36469,-16.79776,11.9,1.13,40.0
31,XRTC 090903,11744,69.1,2009-09-03,63.7 +2.8 -2.5,355.81474,-55.38966,2.4,0.06,197.9
32,XRTC 110501,12317,78.5,2011-04-30 - 2011-05-01,72.7 +4.0 -3.1,191.87038,-2.23492,4.5,0.12,97.6
33,XRTC 100810,13020,41.5,2010-08-10,37.2 +3.0 -2.3,239.06231,66.34653,3.2,0.19,64.1
34,XRTC 120812,13471,55.2,2012-08-11 - 2012-08-12,50.6 +2.6 -2.6,3.67566,-49.88649,3.9,0.09,141.1
