,Id,Search,ObsId,Exp. (ks),Date,T_90,RA (deg),Dec (deg),Off. Ang.,Pos. Unc.,S/N
1,XRT 000519,w20 .../2015-01-01,803,28.5,2000-05-19,15.8 +1.6 -1.8,186.38158,13.06645,13.3,0.46,107.9
2,XRTC 010809,w20 .../2015-01-01,1878,75.5,2001-08-08/2001-08-09,25.7 +1.4 -1.2,85.44771,-1.92406,0.3,0.04,278.2
3,XRTC 010809,w20 .../2015-01-01,1878,75.5,2001-08-08/2001-08-09,56.2 +11.6 -9.3,85.43966,-1.90754,0.8,0.08,51.4
4,XRTC 010809,w20 .../2015-01-01,1878,75.5,2001-08-08/2001-08-09,58.7 +31.4 -8.4,85.45288,-1.90446,1.0,0.29,12.4
5,XRTC 001204,w20 .../2015-01-01,1882,96.8,2000-12-02/2000-12-04,57.3 +13.3 -23.2,91.90500,-6.38148,3.4,0.21,25.8
6,XRTC 001204,w20 .../2015-01-01,1882,96.8,2000-12-02/2000-12-04,54.0 +16.5 -10.3,91.94413,-6.37715,1.1,0.11,28.0
7,XRTC 001204,w20 .../2015-01-01,1882,96.8,2000-12-02/2000-12-04,54.4 +19.1 -39.4,91.89683,-6.38541,3.9,0.32,8.0
8,XRTC 001204,w20 .../2015-01-01,1882,96.8,2000-12-02/2000-12-04,76.2 +12.3 -2.4,91.94014,-6.38184,1.3,0.24,10.9
9,XRTC 001204,w50 .../...,1882,96.8,2000-12-02/2000-12-04,70.0 +11.1 -7.4,91.94792,-6.39343,1.0,0.18,15.1
10,XRTC 021001,w20 .../2015-01-01,2736,65.2,2002-09-30/2002-10-01,18.3 +17.7 -10.3,6.04418,-72.09146,0.6,0.16,8.9
11,XRTC 020713,w20 .../2015-01-01,3184,87.5,2002-07-12/2002-07-13,60.0 +9.8 -6.1,104.40282,-55.81076,8.7,1.22,10.9
12,XRTC 020518,w20 .../2015-01-01,3214,14.9,2002-05-18,9.0 +1.3 -3.7,238.11094,20.19988,4.9,0.70,14.6
13,XRTC 030122,w20 .../2015-01-01,3498,69.0,2003-01-21/2003-01-22,41.0 +21.0 -15.3,83.82902,-5.47276,4.7,0.77,7.3
14,XRTC 030112,w20 .../2015-01-01,3744,164.2,2003-01-10/2003-01-12,142.4 +9.9 -7.7,83.62232,-5.39870,11.8,0.00,68.3
15,XRT 030511,w20 .../2015-01-01,4062,46.1,2003-05-10/2003-05-11,14.5 +6.0 -9.8,76.77818,-31.86982,10.7,0.74,41.9
16,XRTC 030117,w20 .../2015-01-01,4374,169.0,2003-01-15/2003-01-17,113.6 +29.9 -84.9,83.77555,-5.38505,2.7,0.25,9.9
17,XRTC 030120,w20 .../2015-01-01,4396,164.6,2003-01-18/2003-01-20,53.3 +7.9 -41.5,83.88027,-5.37104,3.9,0.38,13.8
18,XRTC 030120,w50 .../...,4396,164.6,2003-01-18/2003-01-20,45.2 +20.4 -44.4,83.84385,-5.33084,4.1,0.15,44.9
19,XRTC 040802,w20 .../2015-01-01,5353,36.6,2004-08-01/2004-08-02,29.2 +10.6 -1.4,329.12392,-4.83024,4.0,0.51,6.9
20,XRTC 040802,w20 .../2015-01-01,5353,36.6,2004-08-01/2004-08-02,34.0 +1.4 -0.1,329.14680,-4.86583,5.4,0.84,3.9
21,XRT 041230,w20 .../2015-01-01,5885,70.7,2004-12-30/2004-12-31,30.9 +17.8 -3.0,318.12660,-63.49898,3.7,0.42,8.8
22,XRTC 060706,w20 .../2015-01-01,6436,36.5,2006-07-05/2006-07-06,23.0 +9.7 -5.7,52.24340,31.37147,1.6,0.12,38.6
23,XRTC 060706,w20 .../2015-01-01,6436,36.5,2006-07-05/2006-07-06,25.3 +2.2 -0.9,52.28227,31.36582,1.3,0.22,20.6
24,XRTC 060530,w50 .../...,6792,97.3,2006-05-29/2006-05-30,90.5 +17.9 -4.1,221.89159,9.33420,6.0,0.85,9.7
25,XRTC 070612,w20 .../2015-01-01,7439,34.1,2007-06-11/2007-06-12,16.3 +9.8 -6.3,296.11682,50.58232,4.6,0.53,12.9
26,XRT 080819,w20 .../2015-01-01,9841,15.8,2008-08-19,8.4 +3.9 -1.6,175.00503,-31.91742,4.7,0.73,10.5
27,XRTC 090301,w20 .../2015-01-01,9923,14.7,2009-03-01,7.8 +3.6 -1.0,193.92558,38.35555,4.5,0.68,5.8
28,XRTC 081224,w20 .../2015-01-01,10234,31.7,2008-12-24,25.8 +2.5 -2.5,59.83881,10.47411,7.1,0.93,10.4
29,XRTC 100914,w20 .../2015-01-01,11737,52.3,2010-09-14,31.1 +26.1 -0.4,337.78288,39.37290,1.6,0.24,8.0
30,XRTC 100101,w20 .../2015-01-01,11777,29.2,2010-01-01,24.0 +2.3 -1.0,138.08401,35.05535,1.9,0.13,44.4
31,XRT 100831,w20 .../2015-01-01,12264,40.0,2010-08-31,8.6 +4.8 -0.9,90.00443,-52.71504,4.7,0.55,12.1
32,XRTC 111009,w20 .../2015-01-01,12273,9.9,2011-10-08/2011-10-09,7.2 +1.5 -1.6,87.16240,-25.56932,5.6,0.75,9.9
33,XRTC 100819,w50 .../...,12301,78.0,2010-08-18/2010-08-19,58.7 +8.6 -3.0,148.88870,68.96563,3.2,0.42,7.1
34,XRTC 111003,w20 .../2015-01-01,12315,39.2,2011-10-02/2011-10-03,28.3 +3.1 -2.0,36.43187,12.87232,1.4,0.11,49.1
35,XRTC 110501,w50 .../...,12317,78.5,2011-04-30/2011-05-01,76.6 +4.9 -3.5,191.86629,-2.15688,0.6,0.12,33.2
36,XRT 110103,w20 .../2015-01-01,12884,84.5,2011-01-03/2011-01-04,60.9 +8.9 -10.3,212.12047,-27.05800,13.0,0.81,33.7
37,XRT 110919,w20 .../2015-01-01,13454,91.8,2011-09-19/2011-09-20,64.1 +29.3 -12.0,15.93569,-21.81271,7.4,0.65,16.7
38,XRT 130822,w20 .../2015-01-01,14904,29.7,2013-08-22,14.4 +4.0 -3.4,345.49250,15.94870,1.6,0.17,13.4
39,XRT 140327,w20 .../2015-01-01,15113,33.6,2014-03-27,15.4 +5.6 -0.7,45.26836,-77.88092,6.6,1.30,7.6
40,XRT 140507,w20 2015-01-01/2022-04-01,16093,66.7,2014-05-07,4.8 +5.5 -3.5,233.73481,23.46840,2.2,0.33,9.6
41,XRT 150322/CDF-S XT2,w20 2015-01-01/2022-04-01,16453,70.3,2015-03-21/2015-03-22,10.5 +5.8 -7.7,53.07676,-27.87361,4.3,0.24,45.7
42,XRT 141001/CDF-S XT1,w20 .../2015-01-01,16454,47.1,2014-10-01,5.0 +3.0 -10.0,53.16163,-27.85949,3.7,0.17,47.1
43,XRTC 161209,w20 2015-01-01/2022-04-01,17615,26.3,2016-12-08/2016-12-09,19.2 +7.3 -3.6,207.61486,26.74966,4.7,0.82,10.6
44,XRTC 161209,w20 2015-01-01/2022-04-01,17615,26.3,2016-12-08/2016-12-09,24.0 +7.6 -1.7,207.62469,26.69989,2.0,0.29,6.5
