,ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
0,23477,202.41434487443652,47.21230856831212,0.44333333333333336,0.06645078868664885,36.995849609375,no,no,yes,no,no,no,no,yes
1,23477,202.4164961354718,47.21040069286072,0.5716666666666667,0.08951112374717889,28.203481674194336,no,yes,yes,no,no,no,no,yes
2,23479,202.41628674426923,47.21015695096837,2.043,0.07013071188250435,57.67522430419922,no,yes,yes,no,no,no,no,no
3,23480,202.38837632061595,47.244600057888995,5.094,0.46650405199908423,7.972517490386963,no,yes,yes,no,no,no,no,yes
4,23487,187.66188031663623,41.636132294079644,2.908,0.1454523757111102,19.692283630371094,no,yes,yes,no,no,no,no,yes
5,23488,187.66173433407874,41.6360916527896,2.457,0.08753291125732836,28.10297393798828,no,no,no,no,no,no,no,no
6,23489,187.66182351791952,41.63610435006035,1.921,0.0657568084200524,49.74999237060547,no,no,yes,no,no,no,no,no
7,23491,187.64631625996262,41.646328105754485,1.284,0.09846312690913951,21.838043212890625,no,yes,yes,no,no,no,no,yes
8,28964,244.71649522184907,-1.991866011802935,6.134,0.360551429526109,5.741755962371826,no,no,no,no,no,no,no,no
9,22481,56.63677775024114,68.06574263759163,1.507,0.06159577803325162,76.92709350585938,no,yes,no,no,no,no,no,no
10,23494,11.823181034409176,-25.30302922696614,5.563,0.16073550104913586,58.908477783203125,no,yes,no,no,no,no,no,yes
11,27077,83.90538522893175,-67.08977467952342,8.356,0.4751163668637756,21.407978057861328,no,yes,no,yes,no,no,no,no
12,12318,191.76701649024756,-2.1180963272959343,0.8966666666666666,0.04445187258616067,61.83076477050781,no,no,no,no,no,no,no,no
13,635,246.81440886642326,-24.444509008669254,7.79,0.12238526567296847,134.460693359375,no,yes,no,no,no,no,no,no
14,637,246.61434496666567,-24.40499334499369,2.079,0.10797012148359901,10.457764625549316,no,no,yes,no,no,no,no,no
15,7415,339.69546425177674,75.19248149449767,0.23333333333333334,0.01981347722530652,382.5488586425781,no,no,yes,no,no,no,no,no
16,7439,296.1168204003397,50.58232209391655,4.635,0.26624732613107654,12.856217384338379,no,no,no,no,no,no,no,no
17,9841,175.00502802912297,-31.917418672849003,4.745,0.363050812299814,10.53874397277832,no,no,no,no,no,no,no,no
18,9923,193.92558423665074,38.355548401329195,4.479,0.33788743194529786,5.775545597076416,no,no,no,no,no,no,no,no
19,17249,246.6271766985138,-24.382711987502585,1.853,0.07105601057165666,59.15084457397461,no,no,yes,no,no,no,no,no
20,17249,246.6686621999425,-24.454228880669433,3.271,0.06200140324260261,94.13499450683594,no,no,yes,no,no,no,no,no
