,Id,Previous Detection,ObsId,Exp. (ks),Date,T_90,RA (deg),Dec (deg),Off. Ang.,Pos. Unc.,S/N
1,XRT 140507,Paper II,16093,66.7,2014-05-07,4.8 +5.5 -3.5,233.73481,23.46840,2.2,0.33,9.6
2,XRTC 140105,,16302,39.2,2014-01-05,34.2 +2.6 -1.0,209.00455,-32.58773,7.8,1.11,12.5
3,XRT 150322/CDF-S XT2,Paper II,16453,70.3,2015-03-21 - 2015-03-22,10.5 +5.8 -7.7,53.07676,-27.87361,4.3,0.24,45.7
4,XRTC 161209,,17615,26.3,2016-12-08 - 2016-12-09,24.0 +7.6 -1.7,207.62469,26.69989,2.0,0.29,6.5
5,XRTC 161209,,17615,26.3,2016-12-08 - 2016-12-09,19.2 +7.3 -3.6,207.61486,26.74966,4.7,0.82,10.6
6,XRT 151121,Paper II,18715,21.8,2015-11-20 - 2015-11-21,17.9 +0.6 -12.3,40.82961,32.32377,8.6,1.83,9.0
7,XRTC 170115,,18926,79.0,2017-01-14 - 2017-01-15,73.1 +3.0 -2.8,81.31800,1.60695,3.0,0.12,74.8
8,XRTC 171213,,18927,37.4,2017-12-13,6.1 +2.5 -2.3,83.87398,-4.99735,0.2,0.26,11.9
9,XRT 170901,Paper II,20635,74.2,2017-08-31 - 2017-09-01,4.2 +0.8 -0.9,356.26459,-42.64493,3.1,0.14,61.8
10,XRT 191127,Paper II,21831,19.8,2019-11-26 - 2019-11-27,0.5 +12.1 -0.2,207.34719,26.58445,5.9,0.85,11.7
11,XRTC 200413,,22558,19.8,2020-04-12 - 2020-04-13,7.4 +6.9 -0.8,289.58998,49.60696,4.2,0.30,43.5
12,XRT 191223,Paper II,23103,16.4,2019-12-23,3.7 +1.8 -0.6,50.47529,41.24683,3.5,0.46,10.7
