,Id,Previous Detection,ObsId,Exp. (ks),Date,T_90,RA (deg),Dec (deg),Off. Ang.,Pos. Unc.,S/N
1,XRT 000519,Paper I,803,28.5,2000-05-19,15.8 +1.6 -1.8,186.38158,13.06645,13.3,0.46,107.9
2,XRTC 000614,,1711,27.1,2000-06-14,23.9 +1.8 -2.1,187.26501,2.05825,1.3,0.19,28.6
3,XRTC 010809,,1878,75.5,2001-08-08 - 2001-08-09,25.7 +1.4 -1.2,85.44771,-1.92406,0.3,0.04,278.2
4,XRTC 010809,,1878,75.5,2001-08-08 - 2001-08-09,58.7 +31.4 -8.4,85.45288,-1.90446,1.0,0.29,12.4
5,XRTC 010809,,1878,75.5,2001-08-08 - 2001-08-09,56.2 +11.6 -9.3,85.43966,-1.90754,0.8,0.08,51.4
6,XRTC 001204,,1882,96.8,2000-12-02 - 2000-12-04,57.3 +13.3 -23.2,91.90500,-6.38148,3.4,0.21,25.8
7,XRTC 001204,,1882,96.8,2000-12-02 - 2000-12-04,54.0 +16.5 -10.3,91.94413,-6.37715,1.1,0.11,28.0
8,XRTC 001204,,1882,96.8,2000-12-02 - 2000-12-04,76.2 +12.3 -2.4,91.94014,-6.38184,1.3,0.24,10.9
9,XRTC 001204,,1882,96.8,2000-12-02 - 2000-12-04,54.4 +19.1 -39.4,91.89683,-6.38541,3.9,0.32,8.0
10,XRTC 010505,,2228,111.4,2001-05-04 - 2001-05-05,96.8 +12.2 -9.2,199.23848,29.24732,5.5,0.41,37.6
11,XRTC 020909,,2561,56.7,2002-09-08 - 2002-09-09,33.4 +8.4 -7.2,282.44017,-23.83784,0.8,0.13,28.3
12,XRTC 020909,,2561,56.7,2002-09-08 - 2002-09-09,34.1 +9.7 -20.6,282.43946,-23.83792,0.9,0.19,21.4
13,XRTC 020909,,2561,56.7,2002-09-08 - 2002-09-09,38.8 +3.5 -3.9,282.44747,-23.83721,0.6,0.11,27.3
14,XRTC 020909,,2561,56.7,2002-09-08 - 2002-09-09,37.8 +3.4 -10.6,282.44495,-23.83740,0.7,0.11,39.7
15,XRTC 020909,,2561,56.7,2002-09-08 - 2002-09-09,35.2 +3.9 -5.3,282.44586,-23.83737,0.6,0.14,36.1
16,XRTC 020909,,2561,56.7,2002-09-08 - 2002-09-09,37.1 +3.0 -7.5,282.44388,-23.83751,0.7,0.13,61.6
